time,x,y,z
2023/07/03 16:50:39.249831598,0.0,0.0,0.0
2023/07/03 16:50:39.283623326,12.499999999999972,0.0,0.0
2023/07/03 16:50:39.349560286,0.1,0.0,0.0
2023/07/03 16:50:39.383606634,12.599999999999971,0.0,0.0
2023/07/03 16:50:39.449634755,0.2,0.0,0.0
2023/07/03 16:50:39.483589740,12.69999999999997,0.0,0.0
2023/07/03 16:50:39.549827458,0.30000000000000004,0.0,0.0
2023/07/03 16:50:39.583955857,12.79999999999997,0.0,0.0
2023/07/03 16:50:39.650227107,0.4,0.0,0.0
2023/07/03 16:50:39.683947661,12.89999999999997,0.0,0.0
2023/07/03 16:50:39.749944805,0.5,0.0,0.0
2023/07/03 16:50:39.783653567,12.99999999999997,0.0,0.0
2023/07/03 16:50:39.849959470,0.6,0.0,0.0
2023/07/03 16:50:39.883705944,13.09999999999997,0.0,0.0
2023/07/03 16:50:39.949963526,0.7,0.0,0.0
2023/07/03 16:50:39.983683579,13.199999999999969,0.0,0.0
2023/07/03 16:50:40.49962925,0.7999999999999999,0.0,0.0
2023/07/03 16:50:40.83683921,13.299999999999969,0.0,0.0
2023/07/03 16:50:40.149963255,0.8999999999999999,0.0,0.0
2023/07/03 16:50:40.183751468,13.399999999999968,0.0,0.0
2023/07/03 16:50:40.249965739,0.9999999999999999,0.0,0.0
2023/07/03 16:50:40.283698468,13.499999999999968,0.0,0.0
2023/07/03 16:50:40.349962424,1.0999999999999999,0.0,0.0
2023/07/03 16:50:40.383685845,13.599999999999968,0.0,0.0
2023/07/03 16:50:40.449959759,1.2,0.0,0.0
2023/07/03 16:50:40.483685653,13.699999999999967,0.0,0.0
2023/07/03 16:50:40.549959528,1.3,0.0,0.0
2023/07/03 16:50:40.583773910,13.799999999999967,0.0,0.0
2023/07/03 16:50:40.649960471,1.4000000000000001,0.0,0.0
2023/07/03 16:50:40.683692837,13.899999999999967,0.0,0.0
2023/07/03 16:50:40.749962632,1.5000000000000002,0.0,0.0
2023/07/03 16:50:40.783699849,13.999999999999966,0.0,0.0
2023/07/03 16:50:40.849962703,1.6000000000000003,0.0,0.0
2023/07/03 16:50:40.884036092,14.099999999999966,0.0,0.0
