time,layout,data
2023/07/03 16:50:47.557991160,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:47.658063857,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:47.758704100,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:47.858738725,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:47.958740479,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:48.58029893,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:48.158034262,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:48.258162084,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:48.358035347,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:48.458564403,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:48.558189720,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:48.658720471,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:48.758878289,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:48.858069859,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:48.958743867,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:49.58719842,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:49.158701370,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:49.258025471,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:49.358732523,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:49.458697881,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:49.558693367,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:49.658722734,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:49.758043198,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:49.858137318,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:49.958130429,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:50.58034219,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:50.158194856,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:50.258107455,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:50.358074838,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:50.458056377,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:50.558125070,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:50.658031960,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:50.757918522,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:50.858897677,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:50.958003370,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:51.58271069,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:51.158037755,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:51.258058619,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:51.358064296,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:51.458115026,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:51.558696644,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:51.658421523,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:51.758473155,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:51.858693404,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:51.958183271,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:52.58874567,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:52.158525897,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:52.258797365,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:52.358768808,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:52.458648079,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:52.558624200,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:52.658636650,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:52.758660933,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:52.858653866,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:52.958643854,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:53.58653771,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:53.158660822,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:53.258729720,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:53.358698699,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:53.458682406,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:53.558770911,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:53.658559432,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:53.758682632,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:53.858725651,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:53.958717554,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:54.58706902,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:54.158693737,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:54.258594059,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:54.358729983,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:54.458730415,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:54.558672205,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:54.658747845,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:54.758728246,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:54.858015395,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:54.958795883,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:55.58726331,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:55.158748162,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:55.258822173,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:55.358740330,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:55.458104326,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:55.559074971,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:55.658800667,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:55.756809453,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:55.857145966,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:55.958407941,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:56.58380241,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:56.158432531,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:56.258544954,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:56.358597595,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:56.458727814,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:56.558743335,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:56.658788782,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:56.758770509,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:56.858738302,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:56.958743214,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:57.58700395,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:57.158714335,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:57.258774472,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:57.358803339,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:57.458719797,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:57.558711134,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:57.658756974,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:57.758717403,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:57.858707215,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:57.958724093,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:58.58722325,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:58.158740133,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:58.258720591,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:58.358757706,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:58.458692589,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:58.558719373,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:58.658709210,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:58.758733621,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:58.858732711,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:58.958706660,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:59.58708681,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:59.158725447,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:59.258695929,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:59.358732553,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:59.458743812,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:59.558707539,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:59.658716533,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:59.758731627,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:59.858728869,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:59.958751007,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:51:00.58681925,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:51:00.158806999,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:51:00.258678655,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:51:00.358742412,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:51:00.458781995,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:51:00.558716469,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:51:00.658747244,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:51:00.758754837,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:51:00.858759483,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:51:00.958725256,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:51:01.58723612,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:51:01.158709424,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:51:01.258668806,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:51:01.358701647,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:51:01.458731652,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:51:01.558714870,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:51:01.658764432,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:51:01.758661969,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:51:01.858663852,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:51:01.958742008,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:51:02.58677957,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:51:02.158723543,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:51:02.258684983,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:51:02.358724977,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:51:02.458684331,"{'dim': [], 'data_offset': 0}",[]
