time,data
2023/07/03 16:50:39.353120491,False
2023/07/03 16:50:39.453621793,False
2023/07/03 16:50:39.553200259,False
2023/07/03 16:50:39.653218731,False
2023/07/03 16:50:39.753871227,False
2023/07/03 16:50:39.853860014,False
2023/07/03 16:50:39.953891783,False
2023/07/03 16:50:40.53860934,False
2023/07/03 16:50:40.153867686,False
2023/07/03 16:50:40.253851867,False
2023/07/03 16:50:40.353877967,False
2023/07/03 16:50:40.453851787,False
2023/07/03 16:50:40.553845595,False
2023/07/03 16:50:40.653862026,False
2023/07/03 16:50:40.753871262,False
2023/07/03 16:50:40.853853850,False
2023/07/03 16:50:40.953865021,False
2023/07/03 16:50:41.53870052,False
2023/07/03 16:50:41.153889078,False
2023/07/03 16:50:41.253840748,False
2023/07/03 16:50:41.353856229,False
2023/07/03 16:50:41.453856280,False
2023/07/03 16:50:41.553846181,False
2023/07/03 16:50:41.653851874,False
2023/07/03 16:50:41.753834132,False
2023/07/03 16:50:41.853858580,False
2023/07/03 16:50:41.953894828,False
2023/07/03 16:50:42.53871978,False
2023/07/03 16:50:42.153868513,False
2023/07/03 16:50:42.253844281,False
2023/07/03 16:50:42.353845065,False
2023/07/03 16:50:42.453850780,False
2023/07/03 16:50:42.553830835,False
2023/07/03 16:50:42.653864302,False
2023/07/03 16:50:42.753879582,False
2023/07/03 16:50:42.853834239,False
2023/07/03 16:50:42.953839574,False
2023/07/03 16:50:43.53866016,False
2023/07/03 16:50:43.153841543,False
2023/07/03 16:50:43.253845324,False
2023/07/03 16:50:43.353856710,False
2023/07/03 16:50:43.453845673,False
2023/07/03 16:50:43.553846749,False
2023/07/03 16:50:43.653853426,False
2023/07/03 16:50:43.753831900,False
2023/07/03 16:50:43.853840961,False
2023/07/03 16:50:43.953847058,False
2023/07/03 16:50:44.53872692,False
2023/07/03 16:50:44.153834184,False
2023/07/03 16:50:44.253865399,False
2023/07/03 16:50:44.353841589,False
2023/07/03 16:50:44.453843218,False
2023/07/03 16:50:44.553829198,False
2023/07/03 16:50:44.653837290,False
2023/07/03 16:50:44.753821526,False
2023/07/03 16:50:44.853854263,False
2023/07/03 16:50:44.953846034,False
